case_id,aoa_deg,processing,x_profile_mm,y_mm,y_relative_mm,mean_velocity_ms,rms_velocity_ms,valid
aoa15,15,Overlap50MP3,20.1105204821,11.111671567,-43.888328433,11.035035462,0.1194498493,1
aoa15,15,Overlap50MP3,20.1105204821,9.3338955641,-45.6661044359,11.0102270669,0.1192226292,1
aoa15,15,Overlap50MP3,20.1105204821,7.5561195612,-47.4438804388,11.0100896005,0.1188828562,1
aoa15,15,Overlap50MP3,20.1105204821,5.7783435583,-49.2216564417,10.9950635171,0.1110352212,1
aoa15,15,Overlap50MP3,20.1105204821,4.0005675554,-50.9994324446,10.9830831744,0.0989400658,1
aoa15,15,Overlap50MP3,20.1105204821,2.2227915525,-52.7772084475,11.0102557057,0.0947366224,1
aoa15,15,Overlap50MP3,20.1105204821,0.4450155497,-54.5549844503,11.0060207373,0.0993033875,1
aoa15,15,Overlap50MP3,20.1105204821,-1.3327604532,-56.3327604532,10.9909789026,0.0910200002,1
aoa15,15,Overlap50MP3,20.1105204821,-3.1105364561,-58.1105364561,10.9800861198,0.09523684,1
aoa15,15,Overlap50MP3,20.1105204821,-4.888312459,-59.888312459,10.9622176316,0.0990320121,1
aoa15,15,Overlap50MP3,20.1105204821,-6.6660884619,-61.6660884619,10.9413155743,0.086063635,1
aoa15,15,Overlap50MP3,20.1105204821,-8.4438644648,-63.4438644648,10.9314552217,0.1265558615,1
