window_size_px,row_index,col_index,x_mm,y_mm,vx_image_ms,vy_image_ms,u_streamwise_ms,v_normal_ms,speed_ms
32,29,5,15.9984570133529,33.7745203615228,-10.5094969119248,-1.50135670170354,10.5094969119248,-1.50135670170354,10.6161950475444
32,30,5,15.9984570133529,30.2193076918888,-10.5094969119248,-1.50135670170354,10.5094969119248,-1.50135670170354,10.6161950475444
32,31,5,15.9984570133529,26.6640950222548,-10.5094969119248,-1.50135670170354,10.5094969119248,-1.50135670170354,10.6161950475444
32,32,5,15.9984570133529,23.1088823526208,-10.5094969119248,-1.50135670170354,10.5094969119248,-1.50135670170354,10.6161950475444
32,33,5,15.9984570133529,19.5536696829869,-10.5094969119248,-1.50135670170354,10.5094969119248,-1.50135670170354,10.6161950475444
32,34,5,15.9984570133529,15.9984570133529,-10.5094969119248,-1.50135670170354,10.5094969119248,-1.50135670170354,10.6161950475444
32,35,5,15.9984570133529,12.4432443437189,-10.5094969119248,-1.50135670170354,10.5094969119248,-1.50135670170354,10.6161950475444
32,36,5,15.9984570133529,8.88803167408494,-10.5094969119248,-1.50135670170354,10.5094969119248,-1.50135670170354,10.6161950475444
32,37,5,15.9984570133529,5.33281900445096,-10.5094969119248,-1.50135670170354,10.5094969119248,-1.50135670170354,10.6161950475444
32,38,5,15.9984570133529,1.77760633481699,-10.5094969119248,-1.50135670170354,10.5094969119248,-1.50135670170354,10.6161950475444
32,1,6,19.5536696829869,133.320475111274,-10.5094969119248,0,10.5094969119248,0,10.5094969119248
32,2,6,19.5536696829869,129.76526244164,-10.5094969119248,0,10.5094969119248,0,10.5094969119248
32,3,6,19.5536696829869,126.210049772006,-10.5094969119248,0,10.5094969119248,0,10.5094969119248
32,4,6,19.5536696829869,122.654837102372,-10.5094969119248,0,10.5094969119248,0,10.5094969119248
32,5,6,19.5536696829869,119.099624432738,-10.5094969119248,0,10.5094969119248,0,10.5094969119248
32,6,6,19.5536696829869,115.544411763104,-10.5094969119248,0,10.5094969119248,0,10.5094969119248
32,7,6,19.5536696829869,111.98919909347,-10.5094969119248,0,10.5094969119248,0,10.5094969119248
32,8,6,19.5536696829869,108.433986423836,-10.5094969119248,0,10.5094969119248,0,10.5094969119248
32,9,6,19.5536696829869,104.878773754202,-10.5094969119248,0,10.5094969119248,0,10.5094969119248
32,10,6,19.5536696829869,101.323561084568,-10.5094969119248,0,10.5094969119248,0,10.5094969119248
32,11,6,19.5536696829869,97.7683484149343,-9.00814021022122,0,9.00814021022122,0,9.00814021022122
