case_id,aoa_deg,processing,x_mm,y_mm,y_relative_mm,u_rms_ms,v_rms_ms,speed_rms_ms,valid
aoa0,0,Overlap50MP3,-123.8893357515,48.4449676275,-6.5550323725,0.1931630909,0.1272339755,0.231301673594413,1
aoa0,0,Overlap50MP3,-123.8893357515,46.6671916246,-8.3328083754,0.1858106728,0.1418451201,0.233764078127013,1
aoa0,0,Overlap50MP3,-123.8893357515,44.8894156218,-10.1105843782,0.20642444,0.1179459187,0.237744167472728,1
aoa0,0,Overlap50MP3,-123.8893357515,43.1116396189,-11.8883603811,0.1850174329,0.1696777543,0.251041810822813,1
aoa0,0,Overlap50MP3,-123.8893357515,41.333863616,-13.666136384,0.2226394379,0.1604930098,0.274456418221711,1
aoa0,0,Overlap50MP3,-123.8893357515,39.5560876131,-15.4439123869,0.2146257087,0.151306509,0.262598275890655,1
aoa0,0,Overlap50MP3,-123.8893357515,37.7783116102,-17.2216883898,0.1579379331,0.1259891368,0.202033792479152,1
aoa0,0,Overlap50MP3,-123.8893357515,36.0005356073,-18.9994643927,0.1900619744,0.1701668631,0.255108438531775,1
aoa0,0,Overlap50MP3,-123.8893357515,34.2227596045,-20.7772403955,0.1870060424,0.1085692604,0.216237240543607,1
aoa0,0,Overlap50MP3,-123.8893357515,32.4449836016,-22.5550163984,0.1755190932,0.1207046332,0.213017747039294,1
aoa0,0,Overlap50MP3,-123.8893357515,30.6672075987,-24.3327924013,0.1760733106,0.1588100641,0.237112730921581,1
aoa0,0,Overlap50MP3,-123.8893357515,28.8894315958,-26.1105684042,0.1520650132,0.1408833585,0.207296620671336,1
aoa0,0,Overlap50MP3,-123.8893357515,27.1116555929,-27.8883444071,0.1274069049,0.12373573,0.177603632549648,1
aoa0,0,Overlap50MP3,-123.8893357515,25.33387959,-29.66612041,0.1334231197,0.107187235,0.1711456462123,1
aoa0,0,Overlap50MP3,-123.8893357515,23.5561035872,-31.4438964128,0.1411204679,0.1181459095,0.18404739170088,1
aoa0,0,Overlap50MP3,-123.8893357515,21.7783275843,-33.2216724157,0.1591043729,0.1121679991,0.19466859402071,1
aoa0,0,Overlap50MP3,-123.8893357515,20.0005515814,-34.9994484186,0.1768522871,0.1011255561,0.20372311981961,1
aoa0,0,Overlap50MP3,-123.8893357515,18.2227755785,-36.7772244215,0.1432567128,0.1059134779,0.178157656481936,1
aoa0,0,Overlap50MP3,-123.8893357515,16.4449995756,-38.5550004244,0.1163462381,0.1136206372,0.162622557837945,1
aoa0,0,Overlap50MP3,-123.8893357515,14.6672235727,-40.3327764273,0.1604191194,0.1071941374,0.192937494961455,1
aoa0,0,Overlap50MP3,-123.8893357515,12.8894475698,-42.1105524302,0.1479338269,0.1095002912,0.184050892185189,1
aoa0,0,Overlap50MP3,-123.8893357515,11.111671567,-43.888328433,0.0874831202,0.1038518953,0.135788484332545,1
aoa0,0,Overlap50MP3,-123.8893357515,9.3338955641,-45.6661044359,0.1223617817,0.1288861792,0.17771902770827,1
aoa0,0,Overlap50MP3,-123.8893357515,7.5561195612,-47.4438804388,0.0986773044,0.1231728761,0.157825117805742,1
aoa0,0,Overlap50MP3,-123.8893357515,5.7783435583,-49.2216564417,0.1179636166,0.0853931673,0.145627634269316,1
aoa0,0,Overlap50MP3,-123.8893357515,4.0005675554,-50.9994324446,0.1163746084,0.0850817255,0.144159458566931,1
aoa0,0,Overlap50MP3,-123.8893357515,2.2227915525,-52.7772084475,0.1185884019,0.1128557452,0.16370592014293,1
aoa0,0,Overlap50MP3,-123.8893357515,0.4450155497,-54.5549844503,0.131587247,0.1194472539,0.177715643760728,1
aoa0,0,Overlap50MP3,-123.8893357515,-1.3327604532,-56.3327604532,0.0937114582,0.1018015557,0.138366882384878,1
aoa0,0,Overlap50MP3,-123.8893357515,-3.1105364561,-58.1105364561,0.0966083608,0.0864254745,0.129624604219311,1
aoa0,0,Overlap50MP3,-123.8893357515,-4.888312459,-59.888312459,0.1086821713,0.1152609603,0.158420021865169,1
aoa0,0,Overlap50MP3,-123.8893357515,-6.6660884619,-61.6660884619,0.0931042309,0.1115053232,0.145264706358485,1
aoa0,0,Overlap50MP3,-123.8893357515,-8.4438644648,-63.4438644648,0.1542847358,0.1318615422,0.202956266255167,1
aoa0,0,Overlap50MP3,-122.1115597486,126.6671117544,71.6671117544,0,0,0,0
aoa0,0,Overlap50MP3,-122.1115597486,124.8893357515,69.8893357515,0.1944258176,0.2232146982,0.29601722929915,1
aoa0,0,Overlap50MP3,-122.1115597486,123.1115597486,68.1115597486,0.2251188902,0.1835942504,0.2904915893874,1
aoa0,0,Overlap50MP3,-122.1115597486,121.3337837458,66.3337837458,0.1584460376,0.1703017342,0.232610892914902,1
aoa0,0,Overlap50MP3,-122.1115597486,119.5560077429,64.5560077429,0.1734417928,0.1499738297,0.229290656339422,1
aoa0,0,Overlap50MP3,-122.1115597486,117.77823174,62.77823174,0.2293457592,0.1540018937,0.276253616313362,1
aoa0,0,Overlap50MP3,-122.1115597486,116.0004557371,61.0004557371,0.3126461433,0.1745575217,0.358075326296591,1
aoa0,0,Overlap50MP3,-122.1115597486,114.2226797342,59.2226797342,0.1999663144,0.1844661017,0.272055636903767,1
aoa0,0,Overlap50MP3,-122.1115597486,112.4449037313,57.4449037313,0.2932811863,0.1960288319,0.352762182176057,1
aoa0,0,Overlap50MP3,-122.1115597486,110.6671277285,55.6671277285,0.2752069683,0.1739968269,0.325597560144645,1
aoa0,0,Overlap50MP3,-122.1115597486,108.8893517256,53.8893517256,0.318968928,0.2040964826,0.378677370909804,1
aoa0,0,Overlap50MP3,-122.1115597486,107.1115757227,52.1115757227,0.2907922697,0.2060626732,0.356401416107747,1
aoa0,0,Overlap50MP3,-122.1115597486,105.3337997198,50.3337997198,0.2661568264,0.2031669062,0.334837644260915,1
aoa0,0,Overlap50MP3,-122.1115597486,103.5560237169,48.5560237169,0.3130638677,0.1060854899,0.330549718539596,1
aoa0,0,Overlap50MP3,-122.1115597486,101.778247714,46.778247714,0.24166319,0.2188688437,0.326043966580508,1
aoa0,0,Overlap50MP3,-122.1115597486,100.0004717112,45.0004717112,0.2880705955,0.2261172894,0.366215369089458,1
aoa0,0,Overlap50MP3,-122.1115597486,98.2226957083,43.2226957083,0.2506107243,0.1960259904,0.31816964664542,1
aoa0,0,Overlap50MP3,-122.1115597486,96.4449197054,41.4449197054,0.2811097464,0.2648570481,0.386227841369985,1
aoa0,0,Overlap50MP3,-122.1115597486,94.6671437025,39.6671437025,0.3500915832,0.1953554165,0.400908786862262,1
aoa0,0,Overlap50MP3,-122.1115597486,92.8893676996,37.8893676996,0.3911829263,0.1723701632,0.427475794624942,1
aoa0,0,Overlap50MP3,-122.1115597486,91.1115916967,36.1115916967,0.2925732252,0.1537404188,0.330507501392524,1
aoa0,0,Overlap50MP3,-122.1115597486,89.3338156939,34.3338156939,0.2989102397,0.1476400439,0.333384033751326,1
aoa0,0,Overlap50MP3,-122.1115597486,87.556039691,32.556039691,0.2601413723,0.1762962685,0.314251345055437,1
aoa0,0,Overlap50MP3,-122.1115597486,85.7782636881,30.7782636881,0.3197443917,0.2146687118,0.385122229752418,1
aoa0,0,Overlap50MP3,-122.1115597486,84.0004876852,29.0004876852,0.2692151636,0.1914760618,0.33036326453559,1
aoa0,0,Overlap50MP3,-122.1115597486,82.2227116823,27.2227116823,0.3344232738,0.1894700454,0.384366783376228,1
aoa0,0,Overlap50MP3,-122.1115597486,80.4449356794,25.4449356794,0.3038011719,0.2190190187,0.374519001654288,1
aoa0,0,Overlap50MP3,-122.1115597486,78.6671596766,23.6671596766,0.2446164138,0.2166818656,0.326784670356902,1
aoa0,0,Overlap50MP3,-122.1115597486,76.8893836737,21.8893836737,0.2353615937,0.2156359886,0.319208332235396,1
aoa0,0,Overlap50MP3,-122.1115597486,75.1116076708,20.1116076708,0.244913139,0.2814534125,0.373093110446613,1
aoa0,0,Overlap50MP3,-122.1115597486,73.3338316679,18.3338316679,0.5435665689,0.6199468025,0.824499031385539,1
aoa0,0,Overlap50MP3,-122.1115597486,71.556055665,16.556055665,0.7747909689,0.7902358058,1.10669493278743,1
aoa0,0,Overlap50MP3,-122.1115597486,69.7782796621,14.7782796621,0.880806316,1.0549012869,1.37427671573405,1
aoa0,0,Overlap50MP3,-122.1115597486,68.0005036592,13.0005036592,0.9809122175,1.3050952043,1.63262435077014,1
aoa0,0,Overlap50MP3,-122.1115597486,66.2227276564,11.2227276564,0.955103432,1.6197023474,1.88033461383639,1
aoa0,0,Overlap50MP3,-122.1115597486,64.4449516535,9.4449516535,0.7638807344,1.6874698974,1.8523143445481,1
aoa0,0,Overlap50MP3,-122.1115597486,62.6671756506,7.6671756506,1.0332409268,1.5915784697,1.89755338212845,1
aoa0,0,Overlap50MP3,-122.1115597486,60.8893996477,5.8893996477,1.0085810957,1.0366616573,1.44634132151418,1
aoa0,0,Overlap50MP3,-122.1115597486,59.1116236448,4.1116236448,0.7922158236,0.691012965,1.05123966295052,1
aoa0,0,Overlap50MP3,-122.1115597486,57.3338476419,2.3338476419,0.5048639511,0.4461588936,0.673754678988339,1
aoa0,0,Overlap50MP3,-122.1115597486,55.5560716391,0.556071639099997,0.3371123714,0.2163991465,0.400591239990168,1
aoa0,0,Overlap50MP3,-122.1115597486,53.7782956362,-1.2217043638,0.2789043544,0.1276944567,0.306746659599072,1
aoa0,0,Overlap50MP3,-122.1115597486,52.0005196333,-2.9994803667,0.2018948494,0.164597459,0.260487722788437,1
aoa0,0,Overlap50MP3,-122.1115597486,50.2227436304,-4.7772563696,0.245446694,0.1698927022,0.29850897784882,1
aoa0,0,Overlap50MP3,-122.1115597486,48.4449676275,-6.5550323725,0.2375549484,0.1229944651,0.267506994216155,1
aoa0,0,Overlap50MP3,-122.1115597486,46.6671916246,-8.3328083754,0.2435427929,0.1204679265,0.271708691963915,1
aoa0,0,Overlap50MP3,-122.1115597486,44.8894156218,-10.1105843782,0.1983155538,0.1324619957,0.238485301819268,1
aoa0,0,Overlap50MP3,-122.1115597486,43.1116396189,-11.8883603811,0.1811057701,0.1526492679,0.236856705528723,1
aoa0,0,Overlap50MP3,-122.1115597486,41.333863616,-13.666136384,0.1555081512,0.1269499476,0.20074629332888,1
aoa0,0,Overlap50MP3,-122.1115597486,39.5560876131,-15.4439123869,0.2029784268,0.150008062,0.252393859693929,1
aoa0,0,Overlap50MP3,-122.1115597486,37.7783116102,-17.2216883898,0.1841578314,0.1056820514,0.212327112856703,1
aoa0,0,Overlap50MP3,-122.1115597486,36.0005356073,-18.9994643927,0.2126896113,0.121695235,0.245044079660477,1
aoa0,0,Overlap50MP3,-122.1115597486,34.2227596045,-20.7772403955,0.1942329753,0.1184241873,0.227487882823582,1
aoa0,0,Overlap50MP3,-122.1115597486,32.4449836016,-22.5550163984,0.1371287842,0.1562704926,0.20790567648243,1
aoa0,0,Overlap50MP3,-122.1115597486,30.6672075987,-24.3327924013,0.1902140958,0.1359777937,0.233819080959043,1
aoa0,0,Overlap50MP3,-122.1115597486,28.8894315958,-26.1105684042,0.1534485264,0.103181478,0.184913135435523,1
aoa0,0,Overlap50MP3,-122.1115597486,27.1116555929,-27.8883444071,0.1093369044,0.0965059881,0.145835401747765,1
aoa0,0,Overlap50MP3,-122.1115597486,25.33387959,-29.66612041,0.1248978852,0.0867093402,0.152046017393918,1
aoa0,0,Overlap50MP3,-122.1115597486,23.5561035872,-31.4438964128,0.1376347072,0.109546214,0.175908173851483,1
aoa0,0,Overlap50MP3,-122.1115597486,21.7783275843,-33.2216724157,0.1641189443,0.1147949079,0.20028204801708,1
aoa0,0,Overlap50MP3,-122.1115597486,20.0005515814,-34.9994484186,0.1680353839,0.1028017449,0.196987535130792,1
aoa0,0,Overlap50MP3,-122.1115597486,18.2227755785,-36.7772244215,0.1326227983,0.0877896285,0.159046614239633,1
aoa0,0,Overlap50MP3,-122.1115597486,16.4449995756,-38.5550004244,0.1136314886,0.0741244215,0.135670722944052,1
aoa0,0,Overlap50MP3,-122.1115597486,14.6672235727,-40.3327764273,0.130997656,0.101562757,0.16575698925516,1
aoa0,0,Overlap50MP3,-122.1115597486,12.8894475698,-42.1105524302,0.1083498153,0.1168596228,0.159360766553447,1
aoa0,0,Overlap50MP3,-122.1115597486,11.111671567,-43.888328433,0.1078723969,0.0806289956,0.134675494966293,1
aoa0,0,Overlap50MP3,-122.1115597486,9.3338955641,-45.6661044359,0.111388441,0.0930855933,0.145163054764026,1
aoa0,0,Overlap50MP3,-122.1115597486,7.5561195612,-47.4438804388,0.0744653803,0.1186222428,0.140058306965798,1
aoa0,0,Overlap50MP3,-122.1115597486,5.7783435583,-49.2216564417,0.0905659739,0.0947235895,0.131052485807099,1
aoa0,0,Overlap50MP3,-122.1115597486,4.0005675554,-50.9994324446,0.1109680877,0.101992541,0.150719590323991,1
aoa0,0,Overlap50MP3,-122.1115597486,2.2227915525,-52.7772084475,0.0971039022,0.1156136767,0.150982416401908,1
aoa0,0,Overlap50MP3,-122.1115597486,0.4450155497,-54.5549844503,0.0818471476,0.0962472989,0.126342780228243,1
aoa0,0,Overlap50MP3,-122.1115597486,-1.3327604532,-56.3327604532,0.0785130161,0.0749974642,0.108576762401304,1
