x_mm,y_mm,y_relative_mm,davis_u_streamwise_ms,davis_v_normal_ms,self_u_streamwise_ms,self_v_normal_ms,difference_u_ms,difference_v_ms,valid
-114.1115677357,44.0005276203,-10.9994723797,10.5082562203,2.5265728717,10.5094969119248,-3.00271340340707,0.00124069162476204,-5.52928627510707,1
-114.1115677357,40.4449756145,-14.5550243855,10.6611955012,2.5999054852,10.5094969119248,-3.00271340340707,-0.151698589275238,-5.60261888860707,1
-114.1115677357,36.8894236088,-18.1105763912,10.5886526037,2.3438914396,10.5094969119248,-3.00271340340707,-0.0791556917752381,-5.34660484300707,1
-114.1115677357,33.333871603,-21.666128397,10.8983702019,2.0188420384,10.5094969119248,-1.50135670170354,-0.388873289975239,-3.52019874010354,1
-114.1115677357,29.7783195972,-25.2216804028,10.9454725019,2.0485190363,10.5094969119248,-1.50135670170354,-0.435975589975238,-3.54987573800354,1
-114.1115677357,26.2227675915,-28.7772324085,10.9238079355,1.8830796178,10.5094969119248,-1.50135670170354,-0.414311023575237,-3.38443631950354,1
-114.1115677357,22.6672155857,-32.3327844143,10.7605357612,1.4065436409,10.5094969119248,-1.50135670170354,-0.251038849275238,-2.90790034260354,1
-114.1115677357,19.1116635799,-35.8883364201,10.6723703765,1.2846510104,10.5094969119248,-1.50135670170354,-0.162873464575238,-2.78600771210354,1
-114.1115677357,15.5561115742,-39.4438884258,11.2238262746,1.3304015572,10.5094969119248,-1.50135670170354,-0.714329362675238,-2.83175825890354,1
-114.1115677357,12.0005595684,-42.9994404316,10.7707583951,0.9659350887,10.5094969119248,-1.50135670170354,-0.261261483175238,-2.46729179040354,1
-114.1115677357,8.4450075626,-46.5549924374,10.4970340909,1.0037311977,10.5094969119248,-1.50135670170354,0.0124628210247621,-2.50508789940354,1
-114.1115677357,4.8894555569,-50.1105444431,10.6319624053,1.0658875039,10.5094969119248,-1.50135670170354,-0.122465493375238,-2.56724420560354,1
-114.1115677357,1.3339035511,-53.6660964489,10.530113383,0.9030928823,10.5094969119248,-1.50135670170354,-0.0206164710752379,-2.40444958400354,1
-114.1115677357,-2.2216484547,-57.2216484547,10.7072646551,0.814670464,10.5094969119248,-1.50135670170354,-0.197767743175238,-2.31602716570354,1
-114.1115677357,-5.7772004604,-60.7772004604,10.7596107267,1.0052103938,10.5094969119248,-1.50135670170354,-0.250113814775238,-2.50656709550354,1
-110.5560157299,125.778223753,70.778223753,10.8027436835,-0.2309163982,10.5094969119248,0,-0.293246771575237,0.2309163982,1
-110.5560157299,122.2226717472,67.2226717472,10.5746045367,0.2116281395,10.5094969119248,0,-0.0651076247752389,-0.2116281395,1
-110.5560157299,118.6671197414,63.6671197414,10.8906004846,-0.3863809088,10.5094969119248,0,-0.381103572675238,0.3863809088,1
-110.5560157299,115.1115677357,60.1115677357,11.0082839216,-0.3520515314,10.5094969119248,0,-0.498787009675238,0.3520515314,1
-110.5560157299,111.5560157299,56.5560157299,10.6932760137,-0.3253415173,10.5094969119248,0,-0.183779101775238,0.3253415173,1
-110.5560157299,108.0004637241,53.0004637241,10.4896481341,-0.2817975932,10.5094969119248,0,0.0198487778247625,0.2817975932,1
-110.5560157299,104.4449117184,49.4449117184,10.6966668523,-0.1612395326,10.5094969119248,0,-0.187169940375238,0.1612395326,1
-110.5560157299,100.8893597126,45.8893597126,10.8983830894,-0.6587663472,10.5094969119248,0,-0.388886177475237,0.6587663472,1
-110.5560157299,97.3338077068,42.3338077068,10.5623600007,-0.0551426543,10.5094969119248,0,-0.0528630887752382,0.0551426543,1
-110.5560157299,93.7782557011,38.7782557011,10.448224916,0.4656245789,10.5094969119248,0,0.0612719959247627,-0.4656245789,1
-110.5560157299,90.2227036953,35.2227036953,10.4379765072,0.6902662073,10.5094969119248,0,0.0715204047247617,-0.6902662073,1
-110.5560157299,86.6671516895,31.6671516895,8.5226466917,0.9507149772,9.00814021022122,-1.50135670170354,0.485493518521222,-2.45207167890354,1
-110.5560157299,83.1115996838,28.1115996838,7.40871467,0.5581781498,7.50678350851768,0,0.0980688385176842,-0.5581781498,1
-110.5560157299,79.556047678,24.556047678,4.0308508497,2.6428107632,3.00271340340707,-3.00271340340707,-1.02813744629293,-5.64552416660707,1
-110.5560157299,76.0004956722,21.0004956722,4.5977996442,2.2350495285,4.50407010511061,-3.00271340340707,-0.0937295390893889,-5.23776293190707,1
-110.5560157299,72.4449436665,17.4449436665,-0,-0,7.50678350851768,-3.00271340340707,7.50678350851768,-3.00271340340707,0
